,city,lat,long,temp,humidity,cloudiness,windspeed,max temp,country
166,Yeppoon,-23.13,150.73,21.0,64,8,3.1,21.0,AU
167,Airai,-8.93,125.41,16.94,75,31,2.39,16.94,TL
168,Leshukonskoye,64.9,45.76,11.01,97,9,1.66,11.01,RU
169,Stege,54.99,12.28,15.37,1,57,5.15,16.11,DK
170,Vao,-22.67,167.48,20.57,58,37,6.37,20.57,NC
171,Buchanan,5.88,-10.05,24.0,100,75,2.1,24.0,LR
172,Kununurra,-15.77,128.73,24.0,46,0,0.5,24.0,AU
173,Karasjok,69.47,25.51,10.0,57,81,12.3,10.0,NO
174,Dikson,73.51,80.55,8.3,76,14,5.21,8.3,RU
175,Zeya,53.75,127.27,20.85,73,68,0.58,20.85,RU
176,Avarua,-21.21,-159.78,27.0,78,64,2.6,27.0,CK
177,Saint-Joseph,-21.37,55.62,13.21,77,47,2.6,16.0,RE
178,Great Falls,47.5,-111.3,23.24,27,1,13.4,24.0,US
179,San Patricio,19.22,-104.7,30.0,74,90,5.1,30.0,MX
180,Vilcún,-38.65,-72.23,8.65,93,90,1.0,9.0,CL
181,Lere,10.39,8.57,22.29,84,41,1.95,22.29,NG
182,Bilma,18.69,12.92,31.14,12,0,4.13,31.14,NE
183,Hobyo,5.35,48.53,25.42,73,85,10.25,25.42,SO
184,Seymchan,62.88,152.43,12.88,56,100,1.0,12.88,RU
185,Oranjemund,-28.55,16.43,12.77,86,1,4.9,12.77,NA
186,Husavik,66.04,-17.34,10.0,57,92,4.1,10.0,IS
187,The Valley,18.22,-63.06,28.56,74,20,4.1,29.0,AI
188,Sumbe,-11.21,13.84,20.96,87,2,2.31,20.96,AO
189,Bjørnevatn,69.67,29.98,8.0,70,57,5.1,8.0,NO
190,Salalah,17.02,54.09,28.0,94,75,2.6,28.0,OM
191,Mubende,0.56,31.39,16.01,81,5,0.55,16.01,UG
192,Byron Bay,-28.65,153.62,18.41,77,0,3.22,18.89,AU
193,Codrington,-38.27,141.97,8.82,88,100,8.14,8.82,AU
194,Azul,-36.78,-59.86,7.78,85,5,0.45,7.78,AR
